,origin_census_block_group,date_range_start,date_range_end,device_count,distance_traveled_from_home,bucketed_distance_traveled,median_dwell_at_bucketed_distance_traveled,completely_home_device_count,median_home_dwell_time,bucketed_home_dwell_time,at_home_by_each_hour,part_time_work_behavior_devices,full_time_work_behavior_devices,destination_cbgs,delivery_behavior_devices,median_non_home_dwell_time,candidate_device_count,bucketed_away_from_home_time,median_percentage_time_home,bucketed_percentage_time_home,mean_home_dwell_time,mean_non_home_dwell_time,mean_distance_traveled_from_home
0,10330210004,2019-01-02T00:00:00-06:00,2019-01-03T00:00:00-06:00,80,2230,"{""16001-50000"":26,""0"":27,"">50000"":7,""2001-8000"":2,""1-1000"":9,""1001-2000"":2,""8001-16000"":4}","{""16001-50000"":26,"">50000"":33,""<1000"":123,""2001-8000"":129,""1001-2000"":42,""8001-16000"":150}",25,463,"{""721-1080"":7,""361-720"":12,""61-360"":13,""<60"":21,"">1080"":24}","[39,42,39,41,45,43,38,31,30,30,27,31,30,32,34,22,24,31,34,38,42,43,40,37]",4,2,"{""010599735003"":3,""471570027001"":1,""010330203001"":2,""010610504005"":1,""010330201002"":3,""010330210003"":7,""010599734003"":5,""471150502012"":1,""010770102002"":1,""010330205002"":4,""280039505001"":2,""010330204001"":1,""010330207011"":1,""010330206001"":1,""010450214004"":1,""010690410001"":1,""050350301012"":1,""010690402011"":1,""010330207013"":1,""281419503002"":2,""010330207012"":3,""470539674003"":1,""010730107051"":1,""010330203003"":1,""010330207044"":2,""010690403021"":1,""010330209023"":6,""010150021032"":1,""010330206002"":2,""010770112002"":1,""010939643001"":1,""010939643004"":1,""010330210001"":5,""010330205004"":2,""010330202001"":1,""010690404001"":1,""010890109021"":1,""010330207032"":2,""010330201003"":1,""280819501013"":1,""010730052002"":1,""051474901001"":2,""280579501001"":1,""010330203002"":2,""010770109003"":1,""010330206004"":1,""010330207043"":7,""010690403012"":1,""010330205003"":2,""010330207041"":6,""010770103001"":1,""010330210004"":67,""010770101002"":2,""010599736002"":1,""010330209021"":1,""010330207031"":1,""010690402023"":1,""010770102001"":1}",1,61,179,"{""21-45"":4,""541-600"":6,""46-60"":1,""721-840"":2,""1201-1320"":5,""301-360"":2,""<20"":31,""61-120"":1,""241-300"":1,""121-180"":2,""421-480"":2,""841-960"":4,""1081-1200"":1,""601-660"":3,""181-240"":9,""661-720"":3}",84,"{""0-25"":15,""76-100"":45,""51-75"":6,""26-50"":8}",589,247,12668
1,10730049022,2019-01-02T00:00:00-06:00,2019-01-03T00:00:00-06:00,269,3547,"{""16001-50000"":5,""0"":95,"">50000"":50,""2001-8000"":54,""1-1000"":13,""1001-2000"":9,""8001-16000"":29}","{""16001-50000"":78,"">50000"":74,""<1000"":45,""2001-8000"":48,""1001-2000"":14,""8001-16000"":60}",96,24,"{""721-1080"":31,""361-720"":20,""61-360"":39,""<60"":143,"">1080"":19}","[73,74,64,69,69,70,69,68,65,53,44,51,55,53,59,51,45,43,41,53,55,59,63,66]",16,7,"{""121030273154"":1,""132150004003"":1,""010730131004"":1,""010730038022"":1,""010730119043"":1,""010730038033"":1,""010890110143"":1,""010030107031"":1,""010439649001"":1,""010730059101"":1,""010730056002"":2,""131210101181"":1,""010730144122"":1,""010730119011"":1,""011210101011"":1,""470370179012"":2,""011170306051"":1,""170317004012"":1,""010730059052"":1,""010450207001"":1,""010730129063"":2,""010730005004"":1,""011339656003"":1,""011030007003"":1,""132150028002"":1,""010730049012"":2,""010970064042"":1,""010730120021"":2,""011170303401"":1,""010730129112"":2,""010730024002"":1,""011170303034"":1,""010730128021"":1,""010730052003"":10,""010730021003"":1,""010730059031"":1,""010730120024"":1,""010730051013"":1,""010730049021"":1,""250173509003"":2,""010730011005"":2,""010730029001"":1,""010730027003"":2,""011170303162"":1,""010730036006"":1,""010730023032"":1,""010890014022"":1,""010890009022"":1,""010730030013"":1,""471570217411"":2,""010890007022"":1,""450790114191"":1,""010730030021"":1,""010730047021"":2,""010730059051"":1,""010730004005"":1,""010730111041"":1,""010730107051"":5,""010890021002"":1,""010730108034"":1,""011170303151"":1,""010730111093"":1,""011150401031"":1,""120950123031"":1,""010730144092"":1,""010730144081"":2,""010730107022"":2,""132150106071"":1,""470379801001"":2,""010730042001"":1,""330150630012"":1,""010730107011"":2,""131350507141"":2,""010259579021"":1,""131210087004"":1,""010670306001"":1,""010730128032"":2,""170310311002"":1,""011150401063"":1,""010279589002"":1,""010730129081"":1,""010730131001"":1,""010730049022"":158,""010730129053"":1,""011170303163"":1,""011270202001"":1,""131210116151"":1,""010730058001"":1,""010730045001"":13,""010730019021"":3,""010730014001"":1,""131770203002"":1,""010310112011"":1,""010810402004"":1,""131210013001"":1,""010730108022"":1,""010730048002"":1,""010890027011"":1,""011170303152"":2,""010730107021"":1,""471570015001"":1,""010730051012"":1,""010890020001"":1,""010730049011"":2,""010730036002"":1,""120959900000"":1,""010890101003"":1,""010890108001"":1,""010730024004"":5,""010730144062"":1,""011010054072"":3,""011130302002"":1,""260490027003"":1,""010890023001"":4,""010730126023"":1,""060952514002"":1,""010730051041"":1,""121170221044"":2,""130670313091"":1,""120310103041"":1,""130639800001"":1,""011170305013"":1,""010439655002"":1,""391559204001"":1,""290470218054"":1,""250173540003"":2,""011170303331"":1,""330039561005"":2,""010510305001"":1,""010730038023"":2,""470090116032"":1,""390610081001"":1,""011150405021"":1,""010730051033"":2,""010730035001"":1,""131210011003"":1,""250173392003"":2,""010730129113"":1,""010730037001"":1,""010890106242"":1,""010730127011"":1,""250259813002"":2,""010730051042"":1,""261635396001"":2,""011170302121"":1,""011170303301"":1,""340258095023"":1,""010730027001"":5,""121130108151"":1,""010030107032"":1,""011170306092"":1,""010730129102"":1,""010010208021"":1,""010730049023"":1}",1,12,1312,"{""21-45"":22,""481-540"":7,""541-600"":2,""46-60"":9,""721-840"":6,""1201-1320"":3,""301-360"":11,""<20"":134,""61-120"":11,""241-300"":11,""121-180"":3,""421-480"":8,""1321-1440"":3,""841-960"":4,""1081-1200"":5,""961-1080"":10,""601-660"":7,""181-240"":6,""661-720"":1,""361-420"":6}",63,"{""0-25"":117,""76-100"":124,""51-75"":12,""26-50"":4}",294,202,50923
2,11210118001,2019-01-02T00:00:00-06:00,2019-01-03T00:00:00-06:00,95,1379,"{""16001-50000"":13,""0"":39,"">50000"":10,""2001-8000"":11,""1-1000"":9,""1001-2000"":7,""8001-16000"":3}","{""16001-50000"":129,"">50000"":28,""<1000"":217,""2001-8000"":59,""1001-2000"":73,""8001-16000"":9}",38,490,"{""721-1080"":16,""361-720"":12,""61-360"":15,""<60"":25,"">1080"":26}","[35,41,41,39,40,38,37,38,32,36,33,35,37,34,36,36,35,34,35,38,41,43,45,44]",6,1,"{""011150405022"":2,""484391115233"":1,""011210118002"":7,""011210118001"":74,""482570507041"":1,""010730129063"":1,""011170301031"":1,""011210116002"":1,""011170301021"":1,""010730129112"":1,""470370195003"":1,""010030107053"":1,""011210112001"":1,""010379611003"":1,""011210107001"":3,""011170303441"":2,""011210116001"":1,""011210119001"":8,""010030107041"":1,""010730049022"":1,""010730129053"":1,""010730045001"":1,""481130161001"":1,""010030107051"":1,""010730144062"":1,""010379612001"":1,""011210115004"":1,""010030103002"":1,""011210120001"":2,""011170305013"":1,""011170301023"":1,""011210113003"":1,""010810421011"":1,""010030101002"":1,""011210113005"":2,""011210117002"":4,""011210119002"":1,""011010028002"":1,""011170302143"":1,""010730027001"":1,""011210113004"":1,""011210111002"":2,""010730142032"":1}",1,6,299,"{""21-45"":2,""481-540"":1,""541-600"":3,""46-60"":2,""721-840"":3,""1201-1320"":3,""301-360"":3,""<20"":50,""61-120"":5,""241-300"":4,""421-480"":2,""1321-1440"":1,""841-960"":1,""1081-1200"":3,""961-1080"":3,""601-660"":3,""181-240"":4,""661-720"":1,""361-420"":1}",99,"{""0-25"":20,""76-100"":55,""51-75"":8,""26-50"":3}",597,199,9870
3,11250106021,2019-01-02T00:00:00-06:00,2019-01-03T00:00:00-06:00,389,7488,"{""16001-50000"":119,""0"":138,"">50000"":29,""2001-8000"":28,""1-1000"":15,""1001-2000"":12,""8001-16000"":46}","{""16001-50000"":33,"">50000"":32,""<1000"":228,""2001-8000"":64,""1001-2000"":90,""8001-16000"":34}",136,733,"{""721-1080"":89,""361-720"":60,""61-360"":52,""<60"":79,"">1080"":106}","[240,239,241,239,238,239,233,208,182,166,162,155,152,143,138,141,158,166,168,181,209,220,229,230]",40,25,"{""010730102002"":8,""011250106013"":1,""010730142031"":7,""010730141021"":1,""470370144001"":1,""370250415012"":1,""010730144133"":3,""010499604003"":1,""010030114081"":2,""010730118041"":1,""011250103011"":1,""010730138011"":2,""470039501002"":1,""011170303053"":1,""011170307011"":1,""471550801022"":1,""011170302142"":1,""010510309012"":1,""010730031003"":1,""290210022001"":1,""010570202004"":1,""010730129063"":2,""010730143021"":1,""011170305011"":1,""010730107063"":1,""010730059083"":1,""011250107022"":1,""010730141022"":1,""010730139021"":2,""470110102001"":1,""010730024002"":1,""010730129051"":2,""011170303034"":4,""010730123042"":1,""011250106021"":356,""470370181022"":1,""361190146072"":1,""010730045002"":1,""010730100012"":1,""120390204001"":1,""011170302151"":2,""471190103012"":1,""010730142041"":14,""010499605002"":1,""010730129123"":1,""011250101022"":1,""120950167241"":1,""010730124023"":1,""011250123032"":1,""011250106012"":12,""010730038021"":1,""011150405013"":1,""010730143013"":2,""011250106023"":14,""011250119021"":2,""010730129062"":1,""131350505273"":1,""010730004005"":1,""010070100012"":1,""011250107023"":6,""011250124041"":1,""010730107051"":1,""011170303051"":1,""131210021001"":1,""471550811011"":1,""010730141053"":4,""011250107012"":1,""011170303151"":2,""011250127002"":2,""010730139022"":1,""010730129151"":1,""010730144081"":12,""010070100021"":1,""132150106071"":1,""011250124052"":1,""010730129122"":3,""010730040005"":1,""010730109007"":1,""130459101011"":1,""010730142034"":39,""010730141042"":8,""010730121032"":1,""010730142045"":1,""010730144132"":5,""131210087004"":1,""010730102003"":1,""010730128032"":1,""011250124053"":2,""010730023033"":1,""010730129081"":1,""120950165111"":1,""011150401052"":1,""011170303163"":1,""010070100023"":14,""010730127031"":1,""011150401041"":1,""010730045001"":2,""320030007001"":1,""010730110013"":1,""011250116001"":4,""011250124031"":2,""010730143012"":1,""010730141041"":11,""310479686002"":1,""010730103022"":1,""010730144091"":2,""470650114431"":1,""320030068004"":1,""010730031005"":1,""010730144063"":1,""010730144102"":6,""010730108022"":2,""131210035001"":1,""011170303141"":1,""470930054012"":1,""011250106011"":7,""011250123031"":2,""011170303152"":1,""011150404021"":1,""010730108011"":1,""010730100014"":2,""010150011001"":1,""011170303451"":1,""010719510004"":1,""010730144062"":1,""010030114032"":1,""010730129132"":5,""011250120001"":1,""011170302133"":1,""011250104051"":1,""010030110001"":1,""010730107032"":2,""010730119013"":1,""010730118023"":1,""011250107024"":1,""010730128023"":1,""010730106022"":1,""011170302122"":1,""011250107031"":19,""011250125011"":1,""011170303033"":1,""130830401012"":1,""010730129071"":2,""010970002001"":2,""010810421011"":1,""010730138012"":1,""471550810002"":1,""131210035002"":1,""011250102041"":1,""010730129131"":6,""010730102001"":2,""010730134001"":1,""010730104021"":3,""010030114062"":1,""010730003001"":1,""471870503071"":1,""011250112001"":2,""010730008002"":1,""010730108021"":1,""011250123041"":4,""011250103023"":2,""280870010002"":1,""011150401051"":1,""010730143011"":2,""290270701003"":1,""010730141051"":9,""011310351002"":1,""011250119012"":1,""010730107031"":1,""011170303153"":6,""011170302141"":1,""011250108021"":1,""010730129153"":1,""010499602002"":1,""011250126001"":1,""011170307032"":2,""011250102022"":1,""011170302121"":2,""320030007003"":1,""311090033021"":1,""010730027001"":2,""011250106022"":35,""010730140021"":1,""121090208061"":1,""010730024003"":1,""010730129083"":1,""010857810001"":1,""011250107032"":4,""011170303142"":1,""011130309012"":1,""010730142032"":1,""010030114061"":1,""010730107064"":2}",7,96,1059,"{""21-45"":9,""481-540"":21,""541-600"":13,""46-60"":7,""721-840"":5,""1201-1320"":4,""301-360"":21,""<20"":159,""61-120"":25,""241-300"":14,""121-180"":27,""421-480"":17,""1321-1440"":2,""841-960"":6,""1081-1200"":3,""961-1080"":6,""601-660"":8,""181-240"":16,""661-720"":4,""361-420"":17}",87,"{""0-25"":65,""76-100"":218,""51-75"":83,""26-50"":23}",691,215,40646
4,21880002003,2019-01-02T00:00:00-09:00,2019-01-03T00:00:00-09:00,17,522,"{""1-1000"":4,""0"":7}","{""<1000"":20}",10,294,"{""721-1080"":2,""361-720"":1,""61-360"":5,""<60"":2,"">1080"":1}","[4,4,2,1,4,5,5,2,4,2,2,1,3,2,2,2,1,5,7,5,5,5,5,4]",4,3,"{""021880002003"":12,""021880002001"":2,""021880002002"":1,""020200023011"":1,""021880002004"":2}",3,0,36,"{""<20"":7,""21-45"":1,""121-180"":2,""541-600"":3}",100,"{""0-25"":1,""76-100"":12,""26-50"":2}",470,69,522
5,40019450014,2019-01-02T00:00:00-07:00,2019-01-03T00:00:00-07:00,79,8512,"{""16001-50000"":11,""0"":21,"">50000"":35,""2001-8000"":2,""1-1000"":1,""1001-2000"":2,""8001-16000"":7}","{""16001-50000"":135,"">50000"":164,""<1000"":26,""2001-8000"":95,""1001-2000"":4,""8001-16000"":40}",20,0,"{""721-1080"":8,""361-720"":6,""61-360"":12,""<60"":45,"">1080"":5}","[11,11,12,12,13,12,14,9,9,10,9,9,11,12,10,9,10,13,11,17,19,15,19,19]",4,4,"{""040019442011"":1,""350459428021"":1,""040019450014"":36,""517750102005"":1,""350459428024"":1,""490379420002"":1,""040019440001"":1,""350319454001"":1,""040019451002"":1,""350319439022"":3,""040019440003"":2,""040019443002"":1,""350319452002"":1,""040179400101"":1,""040019442012"":2,""350319438003"":2,""350459428012"":1,""040019450012"":4,""350319439021"":1,""481130152063"":1,""040019449011"":1,""350319435001"":1,""060372397012"":1,""040019449021"":1,""040019450011"":2,""350459431002"":3,""040019450022"":1,""040019450021"":1,""040134212011"":1,""350319403001"":6,""040059449003"":1,""040019440002"":7,""040179425002"":3,""040179605001"":1,""040019442021"":11,""040179424001"":1}",1,93,707,"{""21-45"":6,""481-540"":2,""541-600"":1,""721-840"":3,""301-360"":3,""<20"":25,""61-120"":7,""241-300"":4,""121-180"":3,""421-480"":3,""1081-1200"":1,""961-1080"":1,""601-660"":1,""181-240"":2,""661-720"":1,""361-420"":7}",0,"{""0-25"":44,""76-100"":23,""51-75"":3,""26-50"":6}",231,233,22316
6,40130101023,2019-01-02T00:00:00-07:00,2019-01-03T00:00:00-07:00,132,3057,"{""16001-50000"":27,""0"":43,"">50000"":20,""2001-8000"":19,""1-1000"":4,""1001-2000"":3,""8001-16000"":16}","{""16001-50000"":33,"">50000"":54,""<1000"":82,""2001-8000"":17,""1001-2000"":28,""8001-16000"":18}",40,678,"{""721-1080"":25,""361-720"":26,""61-360"":18,""<60"":28,"">1080"":28}","[65,65,67,74,71,74,76,73,71,65,58,56,49,52,51,50,55,52,58,63,70,72,72,70]",6,1,"{""040134211022"":1,""311090101002"":1,""040130101021"":2,""551332043022"":1,""040136176003"":1,""040130304012"":1,""040130304023"":8,""040131138011"":1,""040139413001"":2,""040130304022"":8,""040131125092"":1,""171150020003"":1,""040138118001"":1,""270539800001"":1,""040136152002"":2,""040132168491"":1,""040132168411"":2,""040136123001"":1,""080970005002"":1,""310550075133"":1,""040137233051"":1,""040132178001"":1,""040132173001"":2,""310550075061"":1,""040132168432"":1,""040136177003"":2,""360290129013"":1,""040132168162"":6,""551332029013"":1,""490190003001"":1,""040136131002"":1,""310550069042"":1,""040132172012"":2,""040130101023"":112,""040131138021"":4,""551332037022"":1,""040132168412"":5,""040136152001"":2,""150070406033"":1,""060730212021"":1,""040132169012"":4,""160050011022"":1,""080519638004"":1,""060730060003"":1,""551332041002"":1,""080970001001"":1,""040132168161"":1,""170438447024"":1,""040136131001"":4,""040132168301"":1,""360290132021"":1,""551332037041"":1,""040131042261"":1,""040132170013"":1,""060730072001"":1,""551332042005"":1,""150070406032"":1,""040136178002"":1,""080370003022"":1,""040132168222"":12,""040190047103"":1,""040132168441"":1,""040132168471"":1,""040136106002"":2,""040130715142"":1,""040136170004"":1,""310550075091"":1,""120999805001"":1,""040130304011"":8,""060730215001"":1,""040132168422"":1,""080519637005"":1,""150070406041"":1,""080519638002"":1,""270530260212"":1,""040134212011"":1,""040136139002"":1,""120990059442"":1,""040131044021"":1,""060855051002"":1,""551332041004"":1,""040136197001"":1,""040136130002"":3,""170318198014"":1,""020200012001"":1,""040132168221"":3,""040132168403"":3,""040136170003"":3,""150070406031"":1,""040132168512"":2,""040133199031"":1,""060730006003"":1,""040131076021"":2}",3,59,282,"{""21-45"":9,""481-540"":1,""541-600"":4,""46-60"":4,""721-840"":1,""1201-1320"":1,""301-360"":3,""<20"":50,""61-120"":18,""241-300"":6,""121-180"":13,""421-480"":2,""1321-1440"":1,""601-660"":1,""181-240"":7,""661-720"":1,""361-420"":1}",92,"{""0-25"":22,""76-100"":90,""51-75"":14,""26-50"":3}",661,146,11277
7,40132175012,2019-01-02T00:00:00-07:00,2019-01-03T00:00:00-07:00,78,1264,"{""16001-50000"":1,""0"":42,"">50000"":4,""2001-8000"":13,""1-1000"":3,""1001-2000"":2,""8001-16000"":12}","{""16001-50000"":404,"">50000"":74,""<1000"":35,""2001-8000"":41,""1001-2000"":17,""8001-16000"":117}",33,735,"{""721-1080"":19,""361-720"":6,""61-360"":16,""<60"":17,"">1080"":20}","[46,47,39,42,42,41,42,39,37,36,37,33,35,29,31,30,29,24,30,35,34,41,34,38]",1,1,"{""040131083011"":1,""040132175022"":1,""040132179003"":1,""040133184002"":1,""040132173002"":1,""040134213032"":1,""040131085011"":1,""040131113001"":1,""040133197041"":1,""040131167293"":1,""040133187001"":2,""040131084004"":1,""060375421031"":2,""060372283203"":1,""040132173001"":2,""040132172034"":2,""040131085012"":1,""040131112021"":1,""040131149001"":1,""040132168072"":1,""040132176001"":2,""040132172012"":3,""040131067021"":1,""040132172042"":1,""040131109021"":1,""040131129003"":1,""040132168301"":1,""040132172032"":1,""040134222031"":1,""721479506001"":1,""040132168352"":1,""721479505003"":1,""040132175012"":68,""040132168341"":1,""040132168493"":1,""040132172011"":1,""040139413002"":1,""040132169011"":1,""040132168092"":1,""040132175023"":1,""040132179002"":1,""040132180004"":1,""040134225034"":1,""040131050041"":1,""040131108021"":1,""040132174004"":3,""040132175013"":1}",1,0,254,"{""21-45"":3,""481-540"":2,""541-600"":2,""46-60"":1,""301-360"":2,""<20"":45,""61-120"":4,""241-300"":1,""121-180"":1,""421-480"":1,""841-960"":1,""961-1080"":1,""181-240"":2,""661-720"":1,""361-420"":3}",100,"{""0-25"":13,""76-100"":49,""51-75"":6,""26-50"":8}",666,124,1772
8,40136145004,2019-01-02T00:00:00-07:00,2019-01-03T00:00:00-07:00,88,2271,"{""16001-50000"":16,""0"":27,"">50000"":1,""2001-8000"":18,""1-1000"":7,""1001-2000"":1,""8001-16000"":15}","{""16001-50000"":78,"">50000"":290,""<1000"":61,""2001-8000"":20,""1001-2000"":147,""8001-16000"":93}",26,830,"{""721-1080"":26,""361-720"":15,""61-360"":11,""<60"":11,"">1080"":25}","[56,59,58,59,58,58,55,52,45,42,35,39,42,39,38,31,41,43,47,44,54,58,61,58]",7,8,"{""040131048022"":1,""040136143003"":1,""040132177001"":1,""040136164003"":5,""040132178002"":1,""040136170005"":1,""040130927203"":3,""040131077002"":1,""040136147001"":7,""040131036041"":1,""040131036081"":3,""040136163001"":1,""040136123001"":14,""040131032092"":1,""060372283203"":1,""040130506101"":1,""040131125102"":1,""040136177003"":1,""040136185002"":2,""040131044012"":1,""040132168162"":1,""040136140002"":1,""040132168062"":1,""040136113001"":1,""040130715111"":1,""040132168133"":1,""040131171001"":1,""040131116022"":1,""040136145002"":1,""040136159001"":2,""040136152001"":1,""040136146002"":1,""040132168481"":1,""040131036051"":2,""040131114022"":1,""040136119002"":1,""040136199004"":1,""040136118004"":2,""040131091012"":1,""040132168161"":1,""040131035022"":1,""040139413003"":1,""040136118003"":3,""040136159002"":1,""040136145004"":83,""040131042072"":2,""040136178002"":1,""040134223074"":1,""040131055011"":1,""040136145001"":1,""060372397012"":1,""040131169001"":1,""040136180003"":1,""040136106002"":1,""040132168341"":1,""040136116002"":3,""040130715093"":1,""040132168452"":1,""040139412001"":2,""040136122001"":1,""040130820271"":1,""040131037011"":1,""040132168372"":1,""040136141001"":1,""040136144001"":1,""040131073003"":1,""040131035021"":1,""040136139002"":1,""040136147002"":5,""040130610211"":1,""040131043021"":1,""040131042052"":1,""040136123002"":1}",1,130,185,"{""21-45"":1,""481-540"":4,""541-600"":6,""46-60"":2,""721-840"":1,""1201-1320"":3,""301-360"":5,""<20"":32,""61-120"":5,""241-300"":3,""121-180"":5,""421-480"":1,""841-960"":2,""181-240"":5,""661-720"":1,""361-420"":9}",84,"{""0-25"":12,""76-100"":52,""51-75"":21,""26-50"":1}",755,251,3505
9,40136170001,2019-01-02T00:00:00-07:00,2019-01-03T00:00:00-07:00,65,1512,"{""16001-50000"":10,""0"":25,"">50000"":3,""2001-8000"":9,""1-1000"":2,""1001-2000"":2,""8001-16000"":7}","{""16001-50000"":79,"">50000"":159,""<1000"":647,""2001-8000"":54,""1001-2000"":13,""8001-16000"":100}",25,814,"{""721-1080"":18,""361-720"":8,""61-360"":6,""<60"":9,"">1080"":21}","[36,37,36,39,38,36,37,33,30,26,24,24,24,23,27,24,25,31,33,37,41,41,39,47]",3,7,"{""511790104053"":1,""040136170005"":2,""040130927203"":1,""040133197041"":1,""040131138011"":1,""040136147001"":1,""040136194001"":1,""040131107012"":1,""271230420011"":1,""040136168001"":1,""040131036092"":1,""040136152002"":3,""040136124002"":1,""040131063001"":1,""040136123001"":1,""040131032191"":1,""040132173001"":1,""040136177003"":2,""040132168162"":1,""040133187002"":1,""040131033031"":1,""040134224021"":1,""040130609023"":2,""040131046002"":2,""040131138021"":1,""371830525033"":1,""040132168412"":1,""040132168261"":1,""040132168442"":1,""060770051191"":1,""040136150001"":1,""040136195001"":1,""040136150002"":1,""040136158002"":2,""040136149002"":1,""040132168071"":1,""270530236002"":1,""040136170001"":57,""040136174003"":1,""040131033051"":1,""040131047011"":1,""040131032106"":1,""040131131002"":2,""040136150003"":1,""040134225081"":1,""040131032123"":1,""040132179002"":1,""040136130002"":1,""040131085024"":1,""270530251002"":1,""270530252013"":1,""040136164004"":2,""040136108001"":1,""040136170003"":8,""040136123002"":1}",1,54,133,"{""21-45"":3,""481-540"":3,""541-600"":1,""46-60"":1,""721-840"":5,""1201-1320"":2,""<20"":27,""61-120"":3,""241-300"":3,""121-180"":1,""421-480"":3,""1081-1200"":2,""961-1080"":4,""601-660"":1,""181-240"":1,""661-720"":2,""361-420"":1}",93,"{""0-25"":13,""76-100"":39,""51-75"":9,""26-50"":4}",738,254,15863
