,census_block_group,ParentType,num_accessible_facility,demand_visits,demand_ratios,demand_met_in_local
0,10010201001,Health Care Services,106.0,47.0,0.0630872483221476,0.6595744680851063
1,10010201002,Health Care Services,106.0,75.0,0.0592885375494071,0.28
2,10010202001,Health Care Services,106.0,58.0,0.0604166666666666,0.6551724137931034
3,10010202002,Health Care Services,107.0,24.0,0.0194174757281553,0.6666666666666666
4,10010203001,Health Care Services,109.0,178.0,0.0752961082910321,0.3202247191011236
5,10010203002,Health Care Services,107.0,79.0,0.1023316062176165,0.6962025316455697
6,10010204001,Health Care Services,109.0,96.0,0.1316872427983539,0.3749999999999999
7,10010204002,Health Care Services,113.0,232.0,0.1007381676074685,0.4612068965517241
8,10010204003,Health Care Services,115.0,45.0,0.0460122699386503,0.7111111111111111
9,10010204004,Health Care Services,122.0,29.0,0.0524412296564195,0.4482758620689654
10,10010205001,Health Care Services,202.0,226.0,0.1160760143810991,0.5265486725663717
11,10010205002,Health Care Services,126.0,470.0,0.0648275862068965,0.3148936170212765
12,10010205003,Health Care Services,135.0,263.0,0.1974474474474474,0.4220532319391634
13,10010206001,Health Care Services,107.0,239.0,0.0788778877887788,0.4728033472803347
14,10010206002,Health Care Services,107.0,80.0,0.1123595505617977,0.55
15,10010207001,Health Care Services,181.0,82.0,0.0496067755595886,0.5853658536585366
16,10010207002,Health Care Services,118.0,107.0,0.0767575322812051,0.3457943925233644
17,10010208011,Health Care Services,92.0,93.0,0.086672879776328,0.4623655913978494
18,10010208012,Health Care Services,101.0,272.0,0.1393442622950819,0.3749999999999999
19,10010208021,Health Care Services,79.0,226.0,0.0766361478467277,0.3185840707964602
20,10010208022,Health Care Services,108.0,466.0,0.1119923095409757,0.3776824034334764
21,10010208023,Health Care Services,108.0,112.0,0.0710659898477157,0.4732142857142856
22,10010208024,Health Care Services,108.0,356.0,0.1730675741370928,0.2612359550561797
23,10010209001,Health Care Services,3.0,109.0,0.1004608294930875,0.036697247706422
24,10010209002,Health Care Services,4.0,95.0,0.085817524841915,0.0
25,10010209003,Health Care Services,2.0,108.0,0.0603689211850195,0.0
