,census_block_group,ParentType,num_accessible_facility,demand_visits,demand_ratios,demand_met_in_local
0,10010201001,Retail Stores for Basic Needs,44.0,30.0,0.0402684563758389,0.7333333333333333
1,10010201002,Retail Stores for Basic Needs,44.0,61.0,0.0482213438735177,0.3278688524590163
2,10010202001,Retail Stores for Basic Needs,46.0,12.0,0.0125,1.0
3,10010202002,Retail Stores for Basic Needs,48.0,32.0,0.0258899676375404,0.625
4,10010203001,Retail Stores for Basic Needs,49.0,56.0,0.0236886632825719,0.6428571428571429
5,10010203002,Retail Stores for Basic Needs,49.0,20.0,0.0259067357512953,0.8
6,10010204001,Retail Stores for Basic Needs,50.0,56.0,0.0768175582990397,0.3571428571428571
7,10010204002,Retail Stores for Basic Needs,56.0,63.0,0.0273556231003039,0.6190476190476191
8,10010204003,Retail Stores for Basic Needs,55.0,24.0,0.0245398773006134,0.3333333333333333
9,10010204004,Retail Stores for Basic Needs,60.0,20.0,0.0361663652802893,0.8
10,10010205001,Retail Stores for Basic Needs,91.0,103.0,0.0529019003595274,0.4563106796116505
11,10010205002,Retail Stores for Basic Needs,63.0,375.0,0.0517241379310344,0.4186666666666667
12,10010205003,Retail Stores for Basic Needs,72.0,134.0,0.1006006006006006,0.4179104477611939
13,10010206001,Retail Stores for Basic Needs,47.0,178.0,0.0587458745874587,0.449438202247191
14,10010206002,Retail Stores for Basic Needs,47.0,33.0,0.0463483146067415,0.696969696969697
15,10010207001,Retail Stores for Basic Needs,80.0,91.0,0.0550514216575922,0.5824175824175825
16,10010207002,Retail Stores for Basic Needs,59.0,52.0,0.0373027259684361,0.4615384615384615
17,10010208011,Retail Stores for Basic Needs,33.0,76.0,0.0708294501397949,0.4210526315789473
18,10010208012,Retail Stores for Basic Needs,38.0,167.0,0.0855532786885246,0.4790419161676646
19,10010208021,Retail Stores for Basic Needs,21.0,144.0,0.0488301119023397,0.1805555555555555
20,10010208022,Retail Stores for Basic Needs,46.0,296.0,0.0711367459745253,0.3952702702702703
21,10010208023,Retail Stores for Basic Needs,45.0,41.0,0.0260152284263959,0.6097560975609756
22,10010208024,Retail Stores for Basic Needs,48.0,168.0,0.0816723383568303,0.3452380952380952
23,10010209001,Retail Stores for Basic Needs,5.0,51.0,0.0470046082949308,0.0
24,10010209002,Retail Stores for Basic Needs,5.0,61.0,0.055103884372177,0.0
25,10010209003,Retail Stores for Basic Needs,7.0,68.0,0.0380100614868641,0.088235294117647
26,10010209004,Retail Stores for Basic Needs,13.0,128.0,0.066286897980321,0.1093749999999999
27,10010210001,Retail Stores for Basic Needs,2.0,28.0,0.0448717948717948,0.0
28,10010210002,Retail Stores for Basic Needs,1.0,89.0,0.0391208791208791,0.0
29,10010211001,Retail Stores for Basic Needs,1.0,42.0,0.0206692913385826,0.0
30,10010211002,Retail Stores for Basic Needs,2.0,20.0,0.039447731755424,0.2
31,10010211003,Retail Stores for Basic Needs,2.0,8.0,0.0112994350282485,0.5
32,10030101001,Retail Stores for Basic Needs,0.0,16.0,0.0393120393120393,0.0
33,10030101002,Retail Stores for Basic Needs,9.0,72.0,0.0340264650283553,0.3888888888888889
34,10030101003,Retail Stores for Basic Needs,0.0,86.0,0.0577181208053691,0.0
35,10030102001,Retail Stores for Basic Needs,13.0,127.0,0.0689093868692349,0.2834645669291338
36,10030102002,Retail Stores for Basic Needs,13.0,100.0,0.0816993464052287,0.3
37,10030103001,Retail Stores for Basic Needs,16.0,258.0,0.0852892561983471,0.2093023255813953
38,10030103002,Retail Stores for Basic Needs,71.0,319.0,0.1160421971626045,0.3197492163009404
39,10030103003,Retail Stores for Basic Needs,15.0,119.0,0.0516268980477223,0.3445378151260504
40,10030104001,Retail Stores for Basic Needs,0.0,57.0,0.0526802218114602,0.0
41,10030104002,Retail Stores for Basic Needs,47.0,115.0,0.0833333333333333,0.1999999999999999
42,10030104003,Retail Stores for Basic Needs,15.0,196.0,0.0926275992438563,0.2040816326530611
43,10030105001,Retail Stores for Basic Needs,15.0,82.0,0.050836949783013,0.3414634146341463
44,10030105002,Retail Stores for Basic Needs,14.0,52.0,0.0425531914893617,0.3076923076923077
45,10030105003,Retail Stores for Basic Needs,14.0,161.0,0.1115731115731115,0.3478260869565217
46,10030105004,Retail Stores for Basic Needs,14.0,70.0,0.08363201911589,0.4285714285714285
47,10030106001,Retail Stores for Basic Needs,16.0,36.0,0.0269662921348314,0.5555555555555556
48,10030106002,Retail Stores for Basic Needs,15.0,20.0,0.0292825768667642,0.4
49,10030106003,Retail Stores for Basic Needs,16.0,85.0,0.0572390572390572,0.4823529411764706
50,10030107011,Retail Stores for Basic Needs,124.0,338.0,0.0948106591865357,0.3698224852071006
51,10030107012,Retail Stores for Basic Needs,91.0,257.0,0.0999222395023328,0.3813229571984435
