,census_block_group,ParentType,num_accessible_facility,demand_visits,demand_ratios,demand_met_in_local
0,10010201001,Social Assistance,3.0,25.0,0.0335570469798657,0.36
1,10010201002,Social Assistance,3.0,8.0,0.0063241106719367,1.0
2,10010202001,Social Assistance,5.0,8.0,0.0083333333333333,1.0
3,10010202002,Social Assistance,5.0,4.0,0.0032362459546925,1.0
4,10010203001,Social Assistance,5.0,23.0,0.0097292724196277,0.8260869565217391
5,10010203002,Social Assistance,5.0,0.0,0.0,
6,10010204001,Social Assistance,5.0,9.0,0.0123456790123456,0.4444444444444444
7,10010204002,Social Assistance,5.0,15.0,0.0065132435953104,1.0
8,10010204003,Social Assistance,5.0,12.0,0.0122699386503067,0.6666666666666666
9,10010204004,Social Assistance,5.0,4.0,0.0072332730560578,1.0
10,10010205001,Social Assistance,5.0,8.0,0.0041088854648176,1.0
11,10010205002,Social Assistance,5.0,64.0,0.0088275862068965,0.453125
12,10010205003,Social Assistance,5.0,35.0,0.0262762762762762,0.8857142857142857
13,10010206001,Social Assistance,4.0,41.0,0.0135313531353135,0.8048780487804879
14,10010206002,Social Assistance,3.0,4.0,0.0056179775280898,0.0
15,10010207001,Social Assistance,4.0,12.0,0.0072595281306715,0.6666666666666666
16,10010207002,Social Assistance,5.0,8.0,0.0057388809182209,1.0
17,10010208011,Social Assistance,1.0,21.0,0.0195712954333644,0.2857142857142857
18,10010208012,Social Assistance,2.0,47.0,0.024077868852459,0.3191489361702128
19,10010208021,Social Assistance,0.0,42.0,0.0142421159715157,0.0
20,10010208022,Social Assistance,5.0,44.0,0.0105743811583753,0.5454545454545454
21,10010208023,Social Assistance,0.0,9.0,0.0057106598984771,0.0
22,10010208024,Social Assistance,1.0,36.0,0.0175012153621779,0.1944444444444444
23,10010209001,Social Assistance,0.0,8.0,0.0073732718894009,0.0
24,10010209002,Social Assistance,0.0,12.0,0.010840108401084,0.0
25,10010209003,Social Assistance,0.0,4.0,0.0022358859698155,0.0
26,10010209004,Social Assistance,0.0,15.0,0.0077679958570688,0.0
27,10010210001,Social Assistance,0.0,0.0,0.0,
28,10010210002,Social Assistance,0.0,4.0,0.0017582417582417,0.0
29,10010211001,Social Assistance,0.0,5.0,0.0024606299212598,0.0
30,10010211002,Social Assistance,0.0,4.0,0.0078895463510848,0.0
31,10010211003,Social Assistance,0.0,4.0,0.0056497175141242,0.0
32,10030101001,Social Assistance,0.0,0.0,0.0,
33,10030101002,Social Assistance,0.0,4.0,0.0018903591682419,0.0
34,10030101003,Social Assistance,0.0,4.0,0.0026845637583892,0.0
35,10030102001,Social Assistance,0.0,0.0,0.0,
36,10030102002,Social Assistance,0.0,4.0,0.0032679738562091,0.0
37,10030103001,Social Assistance,0.0,8.0,0.0026446280991735,0.0
38,10030103002,Social Assistance,0.0,28.0,0.0101855220080029,0.0
