,countyfip,population,above_65,percent_above_65,change_pop,change_old_pop,M_population,M_above_65,M_percent_above_65,M_diff
66,12061,145342,43865,0.3018053969258714,3371,-330.4905102271655,148713,43534.509489772834,0.292741787804515,-0.009063609121356397
136,12117,442905,63306,0.14293358620923222,3755,848.3461161615031,446660,64154.346116161505,0.14363127684628466,0.0006976906370524394
291,12059,19569,3691,0.18861464561295926,410,36.294759662240374,19979,3727.2947596622403,0.18656062664108516,-0.0020540189718740998
326,12103,939548,215889,0.2297796387198951,6025,-2203.6670401301512,945573,213685.33295986985,0.2259850196228846,-0.00379461909701051
333,12033,309574,48834,0.15774580552630388,3141,210.49626715410835,312715,49044.49626715411,0.1568344859285743,-0.0009113195977295818
338,12113,163903,23560,0.1437435556396161,3317,597.1004699490755,167220,24157.100469949077,0.14446298570714675,0.0007194300675306409
397,12099,1398757,318068,0.22739332135603255,12488,-2247.608716099177,1411245,315820.3912839008,0.2237884926316131,-0.0036048287244194455
412,12093,39420,6998,0.17752409944190767,195,44.6411197490537,39615,7042.641119749053,0.1777771328978683,0.00025303345596064397
427,12067,8742,1208,0.13818348204072295,235,68.18300012116646,8977,1276.1830001211665,0.14216141251210498,0.003977930471382035
455,12129,31314,4029,0.12866449511400652,-50,56.05505837156422,31264,4085.0550583715644,0.1306632247432051,0.0019987296291985868
457,12095,1256055,134914,0.10741090159268503,9989,6132.967408845086,1266044,141046.96740884508,0.11140763465475535,0.003996733062070323
502,12057,1323059,173133,0.13085810988020943,9027,4721.780214979747,1332086,177854.78021497975,0.1335159893692898,0.0026578794890803614
515,12097,311962,39246,0.12580378379418006,3910,1010.810607197149,315872,40256.81060719715,0.1274465942128367,0.0016428104186566317
544,12101,488310,109345,0.22392537527390388,7462,-395.55723480512046,495772,108949.44276519488,0.21975715200776744,-0.004168223266136445
649,12087,77150,15722,0.2037848347375243,224,-234.5443746885959,77374,15487.455625311404,0.20016356431503352,-0.0036212704224907744
686,12081,353411,90065,0.2548449255965434,10678,801.3722732160542,364089,90866.37227321605,0.24957186916719828,-0.005273056429345141
688,12111,293136,66122,0.22556765460400632,8917,1119.5561142827362,302053,67241.55611428274,0.22261509110746372,-0.002952563496542604
714,12021,348236,103042,0.29589703534384726,6996,-1044.2528922568226,355232,101997.74710774318,0.2871299519968448,-0.008767083347002436
751,12107,72304,15268,0.2111639743306041,584,-31.975545676320383,72888,15236.02445432368,0.20903337249373943,-0.0021306018368646706
859,12091,195798,29527,0.15080337899263527,316,-38.79198515281367,196114,29488.208014847187,0.150362585102783,-0.0004407938898522701
888,12039,46153,7053,0.1528178016596971,-315,-1.286687067671749,45838,7051.713312932328,0.1538398994923934,0.0010220978326963004
916,12047,14362,2211,0.15394791811725386,352,117.38975144204575,14714,2328.389751442046,0.15824315287767066,0.004295234760416794
960,12017,140453,49307,0.3510569371960727,3284,-576.4523592537371,143737,48730.54764074626,0.33902577374473003,-0.012031163451342697
967,12011,1863780,286498,0.15371878655206087,-8764,-1041.170117517642,1855016,285456.82988248236,0.15388375619535485,0.00016496964329398844
979,12015,169642,63824,0.3762275851499039,5237,-807.6245169999676,174879,63016.37548300003,0.36034272544445034,-0.015884859705453558
984,12013,14550,2565,0.17628865979381445,292,27.472793196842023,14842,2592.472793196842,0.17467139153731584,-0.0016172682564986052
1025,12127,510806,118514,0.23201371949428942,8027,-196.93220659953352,518833,118317.06779340046,0.22804460740431018,-0.003969112089979243
1030,12009,560683,126104,0.22491140269992135,8986,-237.2948922880511,569669,125866.70510771195,0.2209470852507543,-0.00396431744916706
1066,12133,24627,4308,0.1749299549275186,211,20.46759702438954,24838,4328.46759702439,0.17426796026348296,-0.0006619946640356311
