,placekey,parent_placekey,location_name,safegraph_brand_ids,brands,top_category,sub_category,naics_code,latitude,longitude,street_address,city,region,postal_code,iso_country_code,phone_number,open_hours,category_tags,opened_on,closed_on,tracking_closed_since,geometry_type
0,222-222@3x5-4sw-d35,222-223@3x5-4sw-d35,Divine's Convenience & Auto Repair Shops,SG_BRAND_69d4a2b66d1aea33,Divine's Convenience & Auto Repair Shops,"Automotive Parts, Accessories, and Tire Stores",Automotive Parts and Accessories Stores,441310.0,47.671198,-117.23919,1520 N Pines Rd,Spokane Valley,WA,99206,US,,,,,,2019-07,POLYGON
1,224-222@63r-6hr-5pv,,Fallsgrove Center for Dentistry,,,Offices of Dentists,Offices of Dentists,621210.0,39.098552,-77.192122,14955 Shady Grove Rd Ste 200,Rockville,MD,20850,US,,"{ ""Mon"": [[""8:00"", ""17:00""]], ""Tue"": [[""8:00"", ""17:00""]], ""Wed"": [[""8:00"", ""17:00""]], ""Thu"": [[""7:00"", ""17:00""]], ""Fri"": [[""7:00"", ""15:00""]], ""Sat"": [], ""Sun"": [] }",,,,2019-07,POLYGON
2,zzw-222@63r-6y3-45f,,CubeSmart,SG_BRAND_3609f80e8ab3db987d9be5010a726c20,CubeSmart,Lessors of Real Estate,Lessors of Miniwarehouses and Self-Storage Units,531130.0,39.105704,-77.184065,44 Research Pl,Rockville,MD,20850,US,,,,2020-06,,2019-07,POLYGON
3,224-222@5zb-xcw-t7q,,T Mobile Store,SG_BRAND_4b82356db1a8f4a2db26dd5b7e30abba,T-Mobile,Wired and Wireless Telecommunications Carriers,Wireless Telecommunications Carriers (except Satellite),517312.0,33.466524,-112.152419,4314 W McDowell Rd,Phoenix,AZ,85035,US,16237383622.0,"{ ""Mon"": [[""10:00"", ""21:00""]], ""Tue"": [[""10:00"", ""21:00""]], ""Wed"": [[""10:00"", ""21:00""]], ""Thu"": [[""10:00"", ""21:00""]], ""Fri"": [[""10:00"", ""21:00""]], ""Sat"": [[""10:00"", ""20:00""]], ""Sun"": [[""10:00"", ""18:00""]] }",,,,2019-07,POLYGON
4,227-222@629-fv8-xqz,,United States Postal Service (USPS),SG_BRAND_27ee73cd1fb6f5e432852fea401eacce,United States Postal Service (USPS),Postal Service,Postal Service,491110.0,41.62998,-74.372417,3619 Route 52,Walker Valley,NY,12588,US,18457442722.0,,,,,2020-12,POLYGON
5,zzy-222@8gf-y8m-qcq,,Tropical Smoothie Café,SG_BRAND_321fb519b4bdd1052f599b2740228cc1,Tropical Smoothie Café,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515.0,35.166429,-79.422131,10725 Us 501,Southern Pines,NC,28387,US,,,"Counter Service,Sandwich Shop,Lunch,Breakfast,Smoothie & Juice Bar,Dinner",,,,POLYGON
6,zzw-225@5z4-rcd-5cq,,Sandra M Wolf MFT,,,Offices of Other Health Practitioners,Offices of Mental Health Practitioners (except Physicians),621330.0,33.856098,-117.834403,3855 E La Palma Ave Ste 115,Anaheim,CA,92807,US,17147476959.0,,,,,2019-07,POLYGON
7,222-222@5qd-2h8-vmk,,Trace Minerals Research,,,Health and Personal Care Stores,Food (Health) Supplement Stores,446191.0,41.205722,-112.027989,1996 W 3300 S,West Haven,UT,84401,US,18017316051.0,,,,,2019-07,POLYGON
8,zzy-222@5px-g3h-2hq,,Cave Hill Motel,,,Traveler Accommodation,Hotels (except Casino Hotels) and Motels,721110.0,36.979629,-85.615086,310 W Stockton St,Edmonton,KY,42129,US,12704323911.0,,,,,2019-07,POLYGON
9,226-222@5z4-z7y-mzf,,South Coast Tax Resolution,,,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",Tax Preparation Services,541213.0,34.156028,-118.798144,5716 Corsa Ave Ste 105,Westlake Village,CA,91362,US,,"{ ""Mon"": [[""8:00"", ""17:00""]], ""Tue"": [[""8:00"", ""17:00""]], ""Wed"": [[""8:00"", ""17:00""]], ""Thu"": [[""8:00"", ""17:00""]], ""Fri"": [[""8:00"", ""17:00""]], ""Sat"": [], ""Sun"": [] }",,,,2019-07,POLYGON
