,placekey,parent_placekey,location_name,street_address,city,region,postal_code,safegraph_brand_ids,brands,date_range_start,date_range_end,raw_visit_counts,raw_visitor_counts,visits_by_day,poi_cbg,visitor_home_cbgs,visitor_home_aggregation,visitor_daytime_cbgs,visitor_country_of_origin,distance_from_home,median_dwell,bucketed_dwell_times,related_same_day_brand,related_same_month_brand,popularity_by_hour,popularity_by_day,device_type
0,zzz-222@63f-w7s-rrk,,Vrfa Land Donation,Vrfa Land Donation,Salem,VA,24153,,,2019-04-01T00:00:00-04:00,2019-05-01T00:00:00-04:00,18,10,"[0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,2,2,0,0,0,3,1,1,0,0,1,1,0,4]",511610303002,"{""517750101003"":4,""517750102001"":4}","{""51161030500"":4,""51161030300"":4}","{""517750101002"":4,""517750101003"":4}","{""US"":10}",14302.0,28.0,"{""<5"":2,""5-10"":5,""11-20"":1,""21-60"":4,""61-120"":3,""121-240"":2,"">240"":1}","{""Walmart"":20,""Holiday Inn"":20,""McDonald's"":13,""YMCA"":13,""Mellow Mushroom"":7,""Goodwill Industries"":7,""Airgas"":7,""Atlantic Union Bank"":7,""Lowe's"":7,""Buffalo Wild Wings"":7,""Howard Johnson (HoJo)"":7,""Denny's"":7,""Chick-fil-A"":7,""Texas Roadhouse"":7,""AutoZone"":7,""Exxon Mobil"":7,""Dollar Tree"":7}","{""Wendy's"":70,""McDonald's"":70,""Walmart"":60,""Sheetz"":60,""Chick-fil-A"":50,""Subway"":50,""Dollar Tree"":50,""BP"":40,""Lowe's"":40,""Starbucks"":40,""Hardee's"":40,""YMCA"":40,""Exxon Mobil"":40,""The Home Depot"":30,""Texas Roadhouse"":30,""Marathon"":30,""Little Caesars"":20,""Advance Auto Parts"":20,""Barnes and Noble"":20,""Goodwill Industries"":20}","[0,0,0,0,0,0,1,0,1,2,1,1,2,0,2,6,10,7,1,0,0,0,0,0]","{""Monday"":4,""Tuesday"":6,""Wednesday"":3,""Thursday"":2,""Friday"":0,""Saturday"":2,""Sunday"":1}","{""android"":4,""ios"":5}"
1,zzw-223@5zb-xch-7kf,,America's Branded Beef,2330 W Mission Ln Ste 3,Phoenix,AZ,85021,,,2019-04-01T00:00:00-07:00,2019-05-01T00:00:00-07:00,75,32,"[5,1,4,4,2,0,0,5,3,6,2,5,1,0,2,2,7,2,4,1,0,3,3,3,2,1,0,0,3,4]",40131044021,"{""040136117001"":4,""040136183001"":4,""040131096023"":4,""040133184002"":4}","{""04013611700"":4,""04013107202"":4,""04013104401"":4,""04013110501"":4,""04013111502"":4}","{""040131044021"":4,""040130506052"":4,""040131096023"":4,""060710018031"":4}","{""US"":29}",10724.0,16.0,"{""<5"":2,""5-10"":24,""11-20"":15,""21-60"":16,""61-120"":8,""121-240"":4,"">240"":6}","{""Circle K"":11,""Circle K Gas"":8,""Walmart"":8,""Lowe's"":3,""Jack in the Box"":3,""Ace Hardware"":3,""QuikTrip"":3,""Comfort Suites"":3,""Select Medical"":3,""Chevron"":2,""Goodwill Industries"":2,""Brookstone"":2,""KFC"":2,""International Trucks"":2,""PetSmart"":2,""Watermill Express"":2,""El Pollo Loco"":2,""Starbucks"":2,""Enterprise Rent-A-Car"":2,""Orangetheory Fitness"":2}","{""QuikTrip"":38,""Walmart"":34,""Circle K"":34,""Circle K Gas"":31,""Shell Oil"":31,""Jack in the Box"":28,""McDonald's"":28,""Fry's Food & Drug Stores"":28,""99 Cents Only Stores"":25,""The Home Depot"":19,""Panda Express"":19,""Sprouts Farmers Market"":16,""Goodwill Industries"":16,""Ross Stores"":16,""Lowe's"":16,""Starbucks"":16,""Denny's"":16,""Walgreens"":16,""ARCO"":16,""CVS"":16}","[1,2,3,3,3,7,8,6,11,15,18,12,17,22,10,7,0,3,2,2,4,5,2,1]","{""Monday"":18,""Tuesday"":13,""Wednesday"":20,""Thursday"":10,""Friday"":12,""Saturday"":2,""Sunday"":0}","{""android"":28,""ios"":4}"
2,225-222@629-3fx-7h5,,Fedora Optical,236 N Main St,Manchester,CT,6042,,,2019-04-01T00:00:00-04:00,2019-05-01T00:00:00-04:00,372,218,"[10,8,10,13,15,4,3,14,11,18,22,13,7,1,23,12,21,16,42,6,2,13,8,14,11,23,3,1,15,13]",90035142002,"{""090035148002"":12,""090035142003"":7,""090035141023"":6,""090035147004"":6,""090035104002"":5,""090035144005"":5,""090035141024"":5,""090035152002"":5,""090138501002"":4,""090035141011"":4,""090075415002"":4,""090135303013"":4,""090035144003"":4,""090034737005"":4,""090035147001"":4,""090034875003"":4,""090135302004"":4,""090075701001"":4,""090035141012"":4,""090035146005"":4,""090135302002"":4,""090034059002"":4,""090035113002"":4,""090135331014"":4,""090034806003"":4,""090034641022"":4,""090034842001"":4,""090135331021"":4,""090138502001"":4,""090135303022"":4,""090135291004"":4,""090035027001"":4,""090135281002"":4,""090035110003"":4,""090135302003"":4,""090135305002"":4,""090034901001"":4,""090035143003"":4,""090035149002"":4,""090035144004"":4,""090135351006"":4,""090035018003"":4,""090035101001"":4,""090035151011"":4,""090035023005"":4}","{""09013530200"":13,""09003514200"":10,""09003514300"":10,""09003514600"":9,""09003514800"":9,""09003514101"":8,""09003514102"":8,""09003514700"":7,""09003515101"":6,""09003514400"":6,""09003510400"":6,""09003515200"":6,""09013529100"":6,""09013528100"":6,""09003515102"":5,""09007570100"":4,""09003494100"":4,""09003514500"":4,""09003494400"":4,""09009351602"":4,""09003503100"":4,""09003473700"":4,""09003464102"":4,""09003511000"":4,""09003487500"":4,""09003503500"":4,""09003484200"":4,""09013535100"":4,""09003496900"":4,""09003490100"":4,""09003510100"":4,""09003514900"":4,""09003330100"":4}","{""090035148002"":11,""090035147001"":8,""090035147004"":8,""090035246004"":5,""090035141024"":5,""090135281001"":4,""090035031004"":4,""090035141011"":4,""090035142003"":4,""090034874001"":4,""090035145002"":4,""090035202022"":4,""090135302003"":4,""090135306001"":4,""090035143002"":4,""090035143005"":4,""090138502001"":4,""090035105001"":4,""090035150002"":4,""090075701001"":4,""090034941001"":4,""090035023003"":4,""090035142001"":4,""090091421001"":4,""090135331014"":4,""090135331021"":4,""090034602032"":4,""090035246003"":4,""090035141021"":4,""090035144004"":4,""090035146001"":4,""090035035001"":4,""090117141041"":4,""090035151021"":4,""090035151011"":4,""090035201003"":4,""090035141023"":4,""090135291004"":4,""090035104002"":4,""090135303022"":4,""090135351006"":4,""090035145001"":4,""090035141012"":4}","{""US"":201}",6413.0,20.0,"{""<5"":18,""5-10"":107,""11-20"":62,""21-60"":77,""61-120"":41,""121-240"":26,"">240"":41}","{""Walmart"":7,""CVS"":6,""Dunkin'"":6,""Cumberland Farms"":4,""Mobil"":4,""Dollar Tree"":3,""Taco Bell"":3,""McDonald's"":3,""Hartford HealthCare Medical Group"":2,""Burger King"":2,""Macy's Backstage"":2,""Shell Oil"":2,""Dollar General"":2,""CITGO"":2,""Lowe's"":1,""Starbucks"":1,""Wendy's"":1,""BJ's Wholesale Club"":1,""Marshalls"":1,""Piercing Pagoda"":1}","{""Walmart"":42,""CVS"":37,""Dunkin'"":35,""McDonald's"":33,""Cumberland Farms"":22,""Subway"":22,""Mobil"":21,""Dollar Tree"":20,""Walgreens"":18,""Shell Oil"":18,""Hartford HealthCare Medical Group"":18,""Stop & Shop"":18,""BJ's Wholesale Club"":17,""Dollar General"":16,""Starbucks"":15,""The Home Depot"":14,""Burger King"":13,""CITGO"":13,""Cinemark Theatres"":12,""Gulf Oil"":12}","[1,1,1,3,26,23,32,45,79,71,80,76,76,60,59,52,53,36,24,25,4,5,1,1]","{""Monday"":75,""Tuesday"":52,""Wednesday"":63,""Thursday"":62,""Friday"":93,""Saturday"":20,""Sunday"":7}","{""android"":122,""ios"":93}"
3,zzy-222@8sr-8kj-x5z,,Boys & Girls Clubs of America,4500 Santa Maria,Laredo,TX,78041,SG_BRAND_f30b03559d204ae5fa8ea7c6d0f38fb6,Boys & Girls Clubs of America,2019-04-01T00:00:00-05:00,2019-05-01T00:00:00-05:00,167,69,"[22,16,17,6,5,0,0,8,8,11,10,3,3,0,7,9,5,3,1,2,0,3,6,4,3,3,1,0,7,4]",484790014012,"{""484790017132"":6,""340130091001"":4,""483239507002"":4,""483550026022"":4,""484790001081"":4,""484790017142"":4,""484790017212"":4,""484790017092"":4,""484790017163"":4,""484790018121"":4}","{""48479001713"":8,""48479001714"":5,""48479000601"":5,""48029152201"":4,""48479001806"":4,""48355002602"":4,""48479000108"":4,""48479001809"":4,""48479000800"":4,""48479001812"":4,""48479001716"":4,""48479001401"":4,""48479001712"":4,""34013009100"":4,""48479001814"":4,""48479001807"":4,""48479001709"":4,""48479001402"":4}","{""484790008001"":4,""484790017141"":4,""484790016022"":4,""484790018141"":4,""340130091001"":4,""480291522011"":4,""484790018073"":4,""484790017181"":4,""484790017132"":4,""484790017122"":4,""484790006013"":4,""484790010031"":4}","{""US"":55,""MX"":7}",7901.0,30.0,"{""<5"":2,""5-10"":38,""11-20"":19,""21-60"":51,""61-120"":20,""121-240"":23,"">240"":14}","{""Valero Energy"":19,""Whataburger"":8,""McDonald's"":8,""H-E-B"":7,""Sam's Club Fuel Center"":6,""Family Dollar Stores"":6,""Lowe's"":5,""Subway"":5,""Chick-fil-A"":4,""Greyhound"":3,""Wendy's"":3,""Taco Palenque"":3,""O'Reilly Auto Parts"":3,""Stripes Convenience Stores"":3,""tru by Hilton"":3,""Sam's Club"":3,""Guitar Center"":3,""Walmart"":2,""Golden Corral"":2,""Planet Fitness"":2}","{""Valero Energy"":71,""Walmart"":59,""H-E-B"":55,""McDonald's"":52,""Chick-fil-A"":48,""Whataburger"":45,""Taco Palenque"":33,""Family Dollar Stores"":32,""Subway"":30,""Stripes Convenience Stores"":29,""Target"":26,""Wendy's"":25,""tru by Hilton"":25,""Academy Sports + Outdoors"":23,""Lowe's"":22,""AutoZone"":22,""Sam's Club Fuel Center"":20,""Burger King"":20,""Danny's Restaurant"":20,""Sam's Club"":19}","[1,1,0,1,0,0,1,1,16,30,30,37,35,33,27,28,32,44,43,7,2,0,0,1]","{""Monday"":47,""Tuesday"":43,""Wednesday"":37,""Thursday"":22,""Friday"":12,""Saturday"":6,""Sunday"":0}","{""android"":40,""ios"":28}"
4,22d-222@62j-ss8-3qz,,Tapiz,231 Forest St,Wellesley,MA,2481,,,2019-04-01T00:00:00-04:00,2019-05-01T00:00:00-04:00,84,31,"[5,4,2,3,2,1,0,3,5,4,7,5,0,0,0,2,6,3,1,1,1,4,6,7,2,3,0,1,2,4]",250214042023,"{""090034971001"":5,""250173840023"":4,""250251402023"":4,""250235071011"":4,""250173521022"":4,""261251667002"":4,""250214042023"":4,""250214042022"":4,""250214051002"":4}","{""25021404202"":8,""25017384002"":5,""25023507101"":4,""25009254403"":4,""25017315200"":4,""25025070101"":4,""36059517701"":4,""25025000100"":4,""26125166700"":4}","{""250214042023"":9,""250235071011"":4,""250214042021"":4,""360595177013"":4,""250173215002"":4,""261251667002"":4,""250214042022"":4,""250277241003"":4}","{""US"":29}",16526.0,121.0,"{""<5"":0,""5-10"":14,""11-20"":5,""21-60"":8,""61-120"":15,""121-240"":18,"">240"":24}","{""United States Postal Service (USPS)"":22,""Alltown"":3,""Papa Razzi"":3,""Shell Oil"":3,""Dunkin'"":3,""Chipotle Mexican Grill"":1,""CareWell Urgent Care"":1,""Shoppers World"":1,""Speedway"":1,""sweetgreen"":1,""Starbucks"":1,""Marylou's Coffe"":1,""Mobil"":1,""Orangetheory Fitness"":1,""Qdoba Mexican Grill"":1,""Walgreens"":1,""Roche Brothers Supermarket"":1,""McDonald's"":1,""YMCA"":1,""CITGO"":1}","{""United States Postal Service (USPS)"":55,""McDonald's"":39,""Starbucks"":32,""Dunkin'"":32,""Mobil"":29,""CVS"":29,""New Balance"":26,""Target"":23,""Papa Razzi"":19,""Shell Oil"":19,""Alltown"":16,""T.J. Maxx"":16,""Tesla Motors"":13,""Whole Foods Market"":13,""Roche Brothers Supermarket"":13,""Sunoco"":13,""Toyota"":10,""Chipotle Mexican Grill"":10,""Shoppers World"":10,""sweetgreen"":10}","[0,0,0,0,0,0,0,1,23,29,32,37,36,39,41,38,34,14,5,2,0,2,2,3]","{""Monday"":14,""Tuesday"":21,""Wednesday"":19,""Thursday"":15,""Friday"":11,""Saturday"":2,""Sunday"":2}","{""android"":4,""ios"":28}"
5,228-223@bp6-2br-qs5,,Kihei Physical Therapy,2662 Wai Wai Pl Ste 102,Kihei,HI,96753,,,2019-04-01T00:00:00-10:00,2019-05-01T00:00:00-10:00,1,1,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",150090307081,{},{},{},{},,6.0,"{""<5"":0,""5-10"":1,""11-20"":0,""21-60"":0,""61-120"":0,""121-240"":0,"">240"":0}","{""24 Hour Fitness"":100}","{""Target"":100,""Ross Stores"":100,""Taco Bell"":100,""Zumiez"":100,""Destination by Hyatt"":100,""CrossFit"":100,""Minit Stop"":100,""Texaco"":100,""24 Hour Fitness"":100,""Safeway Pharmacy"":100,""Round Table Pizza"":100}","[0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","{""Monday"":1,""Tuesday"":0,""Wednesday"":0,""Thursday"":0,""Friday"":0,""Saturday"":0,""Sunday"":0}","{""android"":4,""ios"":0}"
6,222-222@5vh-2xq-t7q,,True Value Hardware,14975 Olympic Dr,Clearlake,CA,95422,SG_BRAND_0b1f746a0c413ffd,True Value Hardware,2019-04-01T00:00:00-07:00,2019-05-01T00:00:00-07:00,41,35,"[1,2,0,0,4,3,1,0,4,0,0,2,1,4,3,0,1,0,0,1,0,2,1,4,1,1,3,0,2,0]",60330008023,"{""060330010002"":4,""060330006005"":4,""060330012001"":4,""060330007021"":4,""060330008022"":4,""060330008012"":4}","{""06033000600"":9,""06033000802"":6,""06033000701"":4,""06033001100"":4,""06013343001"":4,""06033000702"":4}","{""060190069002"":4,""060330008023"":4,""060330007021"":4,""060330013004"":4,""060330006001"":4,""060330004002"":4,""060330006005"":4}","{""US"":33}",6341.0,11.0,"{""<5"":0,""5-10"":19,""11-20"":13,""21-60"":5,""61-120"":3,""121-240"":0,"">240"":1}","{""Walmart"":17,""Taco Bell"":10,""Safeway"":7,""United States Postal Service (USPS)"":7,""Dollar Tree"":7,""Chevron"":5,""Valero Energy"":5,""Best Western"":5,""Anytime Fitness"":2,""Travelodge"":2,""IGA"":2,""NAPA Auto Parts"":2,""Costco Gasoline"":2,""Hampton"":2,""Ace Hardware"":2,""Grocery Outlet"":2,""McDonald's"":2,""AutoZone"":2,""Big 5 Sporting Goods"":2}","{""Walmart"":60,""Safeway"":60,""Taco Bell"":43,""Dollar Tree"":37,""Chevron"":34,""IGA"":34,""McDonald's"":34,""Shell Oil"":31,""Jack in the Box"":29,""Big 5 Sporting Goods"":26,""Ace Hardware"":23,""O'Reilly Auto Parts"":23,""Grocery Outlet"":23,""ARCO"":23,""United States Postal Service (USPS)"":23,""Subway"":23,""Ross Stores"":20,""Speedway"":20,""Rite Aid"":20,""The Home Depot"":17}","[0,0,1,1,1,0,0,0,1,3,10,4,6,7,3,7,4,4,2,1,0,2,2,0]","{""Monday"":8,""Tuesday"":7,""Wednesday"":5,""Thursday"":1,""Friday"":7,""Saturday"":8,""Sunday"":5}","{""android"":30,""ios"":4}"
7,222-222@627-s8j-kcq,,Amateur Comedy Club,150 E 36th St,New York,NY,10016,,,2019-04-01T00:00:00-04:00,2019-05-01T00:00:00-04:00,358,183,"[10,12,13,11,7,11,9,13,12,17,15,14,19,10,11,15,19,15,10,10,5,9,13,9,13,6,11,9,17,13]",360610080003,"{""360610080003"":15,""361031587101"":5,""360610089004"":4,""360050205021"":4,""340410316012"":4,""360050031001"":4,""360470514004"":4,""360810403001"":4,""360610072006"":4,""360610066003"":4,""360810113002"":4,""360610072007"":4,""360470112003"":4,""110010080011"":4,""360610044001"":4,""360050078002"":4,""360610070001"":4,""340170059003"":4,""360610049001"":4,""340130191002"":4,""090010437002"":4,""090052661001"":4,""360810592001"":4,""360810489001"":4,""360470433003"":4,""360050185004"":4,""360470179001"":4,""360610131001"":4,""360610080004"":4,""360050145002"":4,""360810481001"":4,""360471172022"":4,""340311825002"":4,""360593004001"":4}","{""36061008000"":25,""36061007800"":5,""36047031701"":5,""36081073900"":5,""36047011000"":5,""24005407001"":4,""36081071701"":4,""36061001502"":4,""36119007100"":4,""36061010800"":4,""36061007400"":4,""34013019000"":4,""36081048900"":4,""36061007000"":4,""36047025800"":4,""36005007800"":4,""36061007200"":4,""34017015202"":4,""36047000900"":4,""34013019100"":4,""36103158710"":4,""36061013800"":4,""36061000600"":4,""36047056300"":4,""36061012000"":4,""09001110600"":4,""36047117202"":4,""34031246003"":4,""36005036100"":4,""09005266100"":4,""34041031601"":4,""34013012000"":4,""36081079200"":4,""36047000100"":4}","{""360610080003"":9,""360810717012"":5,""360610080005"":5,""340170076001"":5,""340030543006"":4,""360610120001"":4,""361031587101"":4,""340030474005"":4,""360810998013"":4,""360610080004"":4,""360610089004"":4,""340030543002"":4,""100030144021"":4,""360610009001"":4,""482150209011"":4,""360610075001"":4,""360610072007"":4,""360050089001"":4,""360610113001"":4,""360610078007"":4,""360610074001"":4,""360610072003"":4,""360610056001"":4,""360610131001"":4,""360610070001"":4,""360050363001"":4,""360610058001"":4,""360050205021"":4,""360470563003"":4,""340170152021"":4,""360810273004"":4,""360594113025"":4,""360470922002"":4,""360810407001"":4,""360610109001"":4,""360810998014"":4,""360610135002"":4,""360610082001"":4}","{""US"":162}",8137.0,59.5,"{""<5"":7,""5-10"":45,""11-20"":37,""21-60"":93,""61-120"":74,""121-240"":49,"">240"":53}","{""Baskin Robbins"":4,""Dunkin'"":4,""Starbucks"":3,""BP"":2,""Walgreens"":2,""New York Health & Racquet Club"":2,""sweetgreen"":1,""McDonald's"":1,""Fusion Academy"":1,""D'Agostino"":1,""Hillstone Restaurant Group"":1,""Exxon Mobil"":1,""Louis Vuitton International"":1,""Crunch"":1,""Travelodge"":1,""Equinox Fitness Clubs"":1,""Just Salad"":1,""Mobil"":1,""Rite Aid"":1,""Blink Fitness"":1}","{""Dunkin'"":33,""Starbucks"":30,""McDonald's"":24,""Walgreens"":21,""BP"":13,""Baskin Robbins"":13,""Subway"":13,""Chipotle Mexican Grill"":13,""sweetgreen"":9,""CVS"":9,""Target"":8,""Pret A Manger"":8,""New York Sports Club"":7,""Rite Aid"":7,""Shake Shack"":7,""The Home Depot"":7,""Wendy's"":7,""Shell Oil"":7,""Fusion Academy"":6,""Simon mall"":6}","[42,40,36,43,50,52,55,52,57,46,46,46,53,52,46,44,45,50,50,51,54,58,59,56]","{""Monday"":60,""Tuesday"":65,""Wednesday"":58,""Thursday"":54,""Friday"":37,""Saturday"":51,""Sunday"":33}","{""android"":71,""ios"":112}"
8,zzw-222@63g-574-nkf,,Pugh Funeral Home,600 S Main St,Randleman,NC,27317,,,2019-04-01T00:00:00-04:00,2019-05-01T00:00:00-04:00,29,24,"[0,0,0,1,7,0,0,0,3,0,2,1,1,0,2,0,1,1,4,0,1,3,0,0,1,1,0,0,0,0]",371510314002,"{""371570406023"":6,""371510314002"":4,""371510308022"":4,""370250422005"":4,""370810168001"":4,""371510314001"":4,""370810172001"":4,""371510314004"":4}","{""37151031400"":6,""37151030802"":4,""37151030400"":4,""37151030600"":4}","{""370810169001"":5,""370810168001"":4,""370250422005"":4,""371510314004"":4,""371510313043"":4,""371510314002"":4,""371510308021"":4,""370810157071"":4,""371510304001"":4,""371510304003"":4}","{""US"":23}",19516.0,26.0,"{""<5"":1,""5-10"":7,""11-20"":4,""21-60"":11,""61-120"":5,""121-240"":1,"">240"":0}","{""Walmart"":22,""McDonald's"":15,""Toyota"":7,""BP"":7,""Lowe's"":4,""Vitality Bowls"":4,""United Refrigeration"":4,""Hobby Lobby Stores"":4,""Dollar General"":4,""Wendy's"":4,""Sam's Club Fuel Center"":4,""Aramark Uniform & Career Apparel"":4,""Chick-fil-A"":4,""ServiceMaster"":4,""SpringHill Suites by Marriott"":4,""Sam's Club"":4,""Shell Oil"":4,""Dollar Tree"":4,""Family Dollar Stores"":4}","{""Walmart"":88,""McDonald's"":67,""Food Lion"":42,""Chick-fil-A"":38,""Goodwill Industries"":33,""Lowe's"":33,""Sheetz"":33,""Murphy USA"":29,""Dollar General"":29,""Dairy Queen"":29,""BP"":25,""KFC"":25,""Wendy's"":25,""Bojangles'"":25,""Exxon Mobil"":25,""Sonic"":21,""Speedway"":21,""GameStop"":21,""Biscuitville"":21,""Burger King"":21}","[0,0,0,0,0,0,0,0,2,3,3,3,1,5,7,4,3,3,8,4,0,0,0,0]","{""Monday"":5,""Tuesday"":3,""Wednesday"":1,""Thursday"":5,""Friday"":13,""Saturday"":1,""Sunday"":1}","{""android"":11,""ios"":11}"
9,zzw-222@63h-jnb-zj9,,Shoppes On Broad,304 N Broad St # 316,Fairborn,OH,45324,,,2019-04-01T00:00:00-04:00,2019-05-01T00:00:00-04:00,222,109,"[4,4,2,6,9,7,11,6,6,6,5,8,6,3,10,6,13,16,7,1,5,19,7,8,11,8,7,5,6,10]",390572004002,"{""181770107002"":5,""391130404053"":4,""390230030012"":4,""390572005002"":4,""390572003003"":4,""390572009004"":4,""390572003001"":4,""390572009003"":4,""390572006003"":4,""080410039022"":4,""390230022002"":4,""390572005003"":4,""391131001022"":4,""390572103003"":4,""390230029022"":4,""390572006001"":4,""390230025011"":4,""390170139002"":4,""390210115012"":4,""390572009002"":4,""390230022004"":4,""390572004001"":4,""390572401001"":4}","{""39057200500"":8,""39057200400"":8,""39057200900"":8,""39057200600"":8,""39057200300"":7,""39023002902"":6,""39113021601"":5,""39113070500"":4,""39109315100"":4,""39023003002"":4,""39057210200"":4,""39113000100"":4,""39113003300"":4,""39021011501"":4,""39023002502"":4,""39113040305"":4,""39057220100"":4,""39017013900"":4}","{""390572009002"":6,""390572004001"":5,""390572003001"":5,""390572803001"":5,""391093801004"":5,""390572009004"":4,""390572201001"":4,""390230029021"":4,""390572003002"":4,""080410039022"":4,""511539008011"":4,""390572550002"":4,""390572006003"":4,""391093550011"":4,""390572004002"":4,""390572009001"":4,""390572003003"":4,""391131501002"":4,""391130505042"":4,""390572005002"":4,""390230029024"":4}","{""US"":107}",7820.0,19.5,"{""<5"":6,""5-10"":82,""11-20"":27,""21-60"":52,""61-120"":28,""121-240"":18,"">240"":9}","{""Subway"":60,""Sherwin-Williams"":45,""Speedway"":13,""Walmart"":6,""Sunoco"":5,""Taco Bell"":5,""McDonald's"":5,""Wendy's"":4,""YMCA"":3,""BP"":3,""Kroger"":3,""Einstein Brothers"":2,""Lowe's"":2,""DaVita"":2,""Burger King"":2,""United States Postal Service (USPS)"":2,""LKQ Pick Your Part"":2,""Dollar General"":2,""Starbucks"":2,""Pep Boys"":2}","{""Subway"":82,""McDonald's"":61,""Speedway"":58,""Walmart"":50,""Taco Bell"":45,""Wendy's"":38,""BP"":35,""Kroger"":32,""Chick-fil-A"":32,""Sherwin-Williams"":28,""Arby's"":28,""Lowe's"":28,""Dollar General"":26,""Kroger Fuel Center"":23,""Shell Oil"":22,""Burger King"":21,""UDF (United Dairy Farmers)"":20,""CVS"":20,""Target"":19,""Starbucks"":19}","[9,8,7,6,6,6,6,12,23,21,28,30,40,28,28,26,30,32,30,31,22,21,9,10]","{""Monday"":45,""Tuesday"":33,""Wednesday"":29,""Thursday"":38,""Friday"":32,""Saturday"":21,""Sunday"":24}","{""android"":63,""ios"":44}"
